name,category,current_stock,min_stock,unit,last_updated,item_id,item_name,min_threshold,max_threshold,unit_cost,supplier
Ammonium Phosphate,Raw Material,1250,500,tons,2024-01-15,1,Ammonium Phosphate,500,1000,150.00,ChemCorp
Sulfuric Acid,Chemicals,8500,3000,liters,2024-01-18,2,Sulfuric Acid,3000,6000,85.50,AcidSuppliers
Phosphate Rock,Raw Material,42000,15000,tons,2024-01-20,3,Phosphate Rock,15000,30000,45.75,MineCo
Diesel Fuel,Chemicals,12500,5000,liters,2024-01-17,4,Diesel Fuel,5000,10000,1.20,FuelGlobal
Conveyor Belts,Equipment,85,30,units,2024-01-10,5,Conveyor Belts,30,60,1200.00,MachineryLtd
Heavy Duty Pumps,Equipment,22,10,units,2024-01-19,6,Heavy Duty Pumps,10,20,8500.00,PumpWorks
PPE Kits,Equipment,320,100,units,2024-01-16,7,PPE Kits,100,200,25.00,SafetyGear
Calcium Carbonate,Chemicals,7800,2500,kg,2024-01-14,8,Calcium Carbonate,2500,5000,0.75,MineralInc
DAP Fertilizer,Finished Goods,9800,4000,tons,2024-01-21,9,DAP Fertilizer,4000,8000,350.00,AgroProducts
MAP Fertilizer,Finished Goods,7500,3000,tons,2024-01-12,10,MAP Fertilizer,3000,6000,320.00,AgroProducts
Flotation Reagents,Chemicals,4200,1500,kg,2024-01-11,11,Flotation Reagents,1500,3000,12.80,ChemSpecialty
Crusher Spare Parts,Equipment,45,20,units,2024-01-09,12,Crusher Spare Parts,20,40,345.00,MachineryLtd
Phosphoric Acid,Chemicals,6800,2000,liters,2024-01-13,13,Phosphoric Acid,2000,4000,2.10,AcidSuppliers
Packaging Bags,Finished Goods,12500,5000,units,2024-01-08,14,Packaging Bags,5000,10000,0.45,PackagingWorld
Heavy Machinery Lubricant,Chemicals,3200,1000,liters,2024-01-07,15,Heavy Machinery Lubricant,1000,2000,8.25,LubeTech
Nitric Acid,Chemicals,5800,2000,liters,2024-02-01,16,Nitric Acid,2000,4000,3.20,AcidSuppliers
Potassium Chloride,Raw Material,18500,7000,tons,2024-02-02,17,Potassium Chloride,7000,14000,220.00,MineCo
Safety Glasses,Equipment,420,150,units,2024-02-03,18,Safety Glasses,150,300,15.00,SafetyGear
Rubber Hoses,Equipment,75,25,units,2024-02-04,19,Rubber Hoses,25,50,85.00,MachineryLtd
